Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Left Knee Angle,Right Knee Angle,Label
179.15282007470924,186.98452344009544,191.0819932463883,184.9148092107476,180.2856940181898,179.7299730308168,tadasana.mp4
179.0472938126503,186.1198487559131,191.0898327961612,184.88408476014615,180.31723980777167,179.92384989306774,tadasana.mp4
178.9822428850253,185.0100756659733,191.11483659785767,184.79769519214244,180.32873167193125,179.9848171518476,tadasana.mp4
178.85686526180132,184.3527460930684,191.15305941114758,184.71030688421874,180.31719117795816,179.88717305777297,tadasana.mp4
178.78078699845068,183.9962354514611,191.25021249676044,184.60025839293712,180.21564596845394,179.71973747676995,tadasana.mp4
178.90850596260188,183.96106657251033,191.42062476640945,184.56164568901985,180.0778875783955,179.22094153322502,tadasana.mp4
179.14722241508056,183.97201416784227,191.6411234976005,184.48616823178753,179.96645629653318,178.68979859652333,tadasana.mp4
179.36734751994553,183.65675637599756,191.7826903428958,184.59873104329085,179.81020921100043,178.32543654352665,tadasana.mp4
180.0806569994193,183.8723317143238,192.13509654742984,184.96282522717632,179.82272651174208,178.0989527548682,tadasana.mp4
180.10391093486066,183.82043648875677,192.14703537962913,185.24090644701866,179.75188495361914,177.771665973939,tadasana.mp4
180.62661660163894,184.7686325281879,192.2730383851519,185.76161333972854,179.7585174006461,177.6897641998865,tadasana.mp4
180.96671938405495,185.45668047588273,192.09375412516283,185.94376079753735,179.9222105976312,177.90863518813046,tadasana.mp4
181.13230270768508,186.0804952279983,191.83189433681406,185.85511556935194,179.99681365612562,178.24413910615843,tadasana.mp4
179.98123079961593,187.10895652678124,191.08632873308488,185.72381409733697,180.07562336571286,178.5758985764879,tadasana.mp4
179.32823190014614,187.9737600371724,190.741447832886,185.4695069715055,180.16285582389852,179.0248787863778,tadasana.mp4
178.72672876933157,188.3651502064387,190.6405298302334,185.02058572215486,180.13968210215484,179.35022852255636,tadasana.mp4
178.09344226695342,188.6576318721897,190.56090284706332,184.68048193410885,180.22731603108087,179.38950070941453,tadasana.mp4
178.13541925008357,188.78622838502397,190.80906451412787,184.4424253434194,180.31887037995833,179.30842236269515,tadasana.mp4
178.22341565312013,189.0519275533904,191.0584518279347,184.22032091760448,180.36195879036654,179.39302307443126,tadasana.mp4
178.2728458579673,189.2544295158518,191.14109775442773,184.0825417449857,180.38785068719508,179.33328354491096,tadasana.mp4
178.54703607268297,189.30151410329648,191.32161530389706,184.0413901305582,180.44047220978763,179.21303867348374,tadasana.mp4
178.5569080396413,189.51633541724058,191.35207742060962,183.9929117003142,180.30945531518523,178.58283129537335,tadasana.mp4
178.8249044192983,189.6578429152434,191.49235807482825,183.956594123279,180.0585332973432,178.0007033987047,tadasana.mp4
179.1096854142955,189.80393264144288,191.65794426740348,183.92462101003,179.82000929339065,177.52051310521563,tadasana.mp4
178.762089693643,189.67769773570492,191.92529009571183,183.83188597714937,179.64844471528417,177.31486519077683,tadasana.mp4
178.8551701787665,189.66211342624285,192.1203395529431,183.61209938770972,179.56799033380148,177.17481730703372,tadasana.mp4
178.83852570771427,189.5517969733944,192.29121019903175,183.2599063432015,179.58450049148496,177.12904823741144,tadasana.mp4
178.11321131564796,189.56487750784711,191.95277027088312,183.20456904044883,179.5940461937665,177.27689229974473,tadasana.mp4
176.53613678080146,189.64054456632908,191.17088377864755,183.1844196609493,179.57800706609393,177.44416219099142,tadasana.mp4
176.5130483892317,189.7767598461634,191.32264930998045,183.29249894685174,179.43541789435287,177.37785037727005,tadasana.mp4
177.11172400282686,189.97220183404949,191.687819912983,183.49449621375445,178.94790278273055,177.20214558272826,tadasana.mp4
177.86679369649576,190.74229709960701,191.91619797157293,183.44454349104998,178.50961730369,177.15459501040647,tadasana.mp4
178.50272924491466,191.63385972587378,191.7768182526281,183.04297907881175,178.36082314910007,177.1691941052506,tadasana.mp4
178.5252263864548,192.47880322767398,191.65004219937185,182.470623392302,178.41931065765687,177.2377564684277,tadasana.mp4
178.98206784613296,193.02389982602932,191.53061483433137,182.0468396711563,178.37742734711853,177.22351530132067,tadasana.mp4
178.88562109550213,193.15886633508308,191.26474176897315,182.0647765287268,178.38717480692958,177.17985618268548,tadasana.mp4
178.5005862640055,193.4641257622837,191.11356500345627,181.89121060779038,178.59810960708015,177.48314496323172,tadasana.mp4
177.72880050688624,193.55066482784892,190.7829680374215,181.87993276541889,178.74130855417295,177.65867987608894,tadasana.mp4
177.38219889952353,193.58532248677236,190.7691243327744,181.86227285656915,178.91067718596014,178.03574003698316,tadasana.mp4
177.08326457944645,193.513024440253,190.74997356768407,181.87530383764076,179.21529077176308,178.0883708230688,tadasana.mp4
176.67705336878026,193.64241524287198,190.56709934224907,181.91666268239666,179.51641553768133,178.2259115340061,tadasana.mp4
176.21315593377247,193.6572003177437,190.36269850154432,181.95776808151288,179.5102437177458,178.4370812440101,tadasana.mp4
176.09585335441923,193.56527958505868,190.2648822431556,182.0395068809563,179.54667498125715,178.6132025630214,tadasana.mp4
175.90240605391153,193.3820751980668,190.09122290289937,182.17934435054488,179.63018211563457,178.6762845127623,tadasana.mp4
175.62906405676674,193.16426869749674,189.8072698729693,182.24457603535214,179.6731145537384,178.76108769329164,tadasana.mp4
175.3545483451006,192.97103274365278,189.5324547545661,182.31038386210238,179.7661420784486,178.8793768201413,tadasana.mp4
175.06641983106942,192.85867324060376,189.1770031102421,182.32679059136407,179.88459838924663,178.95221114898672,tadasana.mp4
174.74554398192748,192.72134876862373,188.76096796206167,182.42026058435457,179.92437869184917,178.8779449189122,tadasana.mp4
